respondent_id,student_level,academic_area,open_feedback,validation_theme,predicted_theme,sentiment_score,sentiment
R0239,Undergraduate,Engineering,I would like clearer guidance on evaluating sources and deciding which materials are reliable.,Research Support,Research Support,0,Neutral
R0240,Undergraduate,Life Sciences,"The building provides a good environment for focused work, although group spaces can be difficult to reserve.",Study Space,Study Space,-2,Negative
R0241,Graduate,Social Sciences,The available materials have supported most of my coursework successfully.,Collections,Collections,0,Neutral
R0242,Undergraduate,Life Sciences,"I usually find relevant material, although some older or specialized items are difficult to locate.",Collections,Collections,-2,Negative
R0243,Faculty/Staff,Social Sciences,"The collection is broad, but there are occasional gaps in materials for specialized subjects.",Collections,Collections,-1,Negative
R0244,Graduate,Business,"I found the materials I needed after some searching, but a short guide for new researchers would help.",Research Support,Research Support,0,Neutral
R0245,Undergraduate,Business,I would like to see more materials added for interdisciplinary research.,Collections,Collections,0,Neutral
R0246,Undergraduate,Life Sciences,"The library offers good support for research, but more workshops on advanced research methods would be useful.",Research Support,Research Support,1,Positive
R0247,Graduate,Life Sciences,"The library offers good support for research, but more workshops on advanced research methods would be useful.",Research Support,Research Support,1,Positive
R0248,Faculty/Staff,Social Sciences,"The online services save me a lot of time, although the website could explain its search options better.",Digital Resources,Digital Resources,1,Positive
R0249,Faculty/Staff,Life Sciences,The extended hours are helpful when I have assignments to finish late at night.,Study Space,Study Space,0,Neutral
R0250,Graduate,Business,"The study environment works well for me, but seating availability varies considerably by time of day.",Study Space,Study Space,1,Positive
R0251,Undergraduate,Life Sciences,The available materials have supported most of my coursework successfully.,Collections,Collections,0,Neutral
R0252,Undergraduate,Humanities,"I appreciate the quiet areas, although some locations become noisy during the afternoon.",Study Space,Study Space,1,Positive
R0253,Graduate,Business,"The online collection is useful, but the search experience could be easier for someone using it for the first time.",Digital Resources,Digital Resources,0,Neutral
R0254,Graduate,Business,"The workshops are useful, although they are not always offered when I need them.",Research Support,Research Support,0,Neutral
R0255,Graduate,Engineering,I would appreciate more electronic versions of books that are frequently assigned in courses.,Collections,Collections,1,Positive
R0256,Undergraduate,Social Sciences,"I usually find relevant material, although some older or specialized items are difficult to locate.",Collections,Collections,-2,Negative
R0257,Undergraduate,Social Sciences,"Accessing electronic material from off campus is generally convenient, although the process is not always clear.",Digital Resources,Digital Resources,0,Neutral
R0258,Faculty/Staff,Life Sciences,A few of the books I needed for coursework were not available in the format I wanted.,Collections,Collections,-1,Negative
R0259,Undergraduate,Business,The research help I received was excellent and made the assignment much easier.,Research Support,Research Support,1,Positive
R0260,Faculty/Staff,Social Sciences,I sometimes feel overwhelmed by the number of academic resources available.,Research Support,Research Support,0,Neutral
R0261,Undergraduate,Business,"The library offers good support for research, but more workshops on advanced research methods would be useful.",Research Support,Research Support,1,Positive
R0262,Undergraduate,Social Sciences,"I appreciate the assistance available, though finding research advice at the right time can be difficult.",Research Support,Research Support,0,Neutral
R0263,Faculty/Staff,Humanities,"I was able to complete my research, although I spent quite a while figuring out which resources were appropriate.",Research Support,Research Support,0,Neutral
R0264,Undergraduate,Computer Science,I like being able to access academic resources from home.,Digital Resources,Digital Resources,0,Neutral
R0265,Faculty/Staff,Social Sciences,Research consultations have been helpful when I have used them.,Research Support,Research Support,0,Neutral
R0266,Graduate,Life Sciences,"The library has a strong selection overall, although certain subjects have fewer resources than others.",Collections,Collections,0,Neutral
R0267,Undergraduate,Life Sciences,"The quiet areas are useful, but the distinction between quiet and collaborative spaces could be clearer.",Study Space,Study Space,0,Neutral
R0268,Undergraduate,Engineering,"The study environment works well for me, but seating availability varies considerably by time of day.",Study Space,Study Space,1,Positive
R0269,Undergraduate,Engineering,"The library has a strong selection overall, although certain subjects have fewer resources than others.",Collections,Collections,0,Neutral
R0270,Graduate,Life Sciences,"The physical environment is pleasant, though some seats are less comfortable for long sessions.",Study Space,Study Space,1,Positive
R0271,Undergraduate,Humanities,"Electronic materials have been convenient, especially when I cannot visit the library in person.",Digital Resources,Digital Resources,1,Positive
R0272,Undergraduate,Social Sciences,The available materials have supported most of my coursework successfully.,Collections,Collections,0,Neutral
R0273,Undergraduate,Business,I would like a simpler way to locate electronic books and journal articles related to a course.,Digital Resources,Digital Resources,0,Neutral
R0274,Undergraduate,Humanities,I would appreciate more electronic versions of books that are frequently assigned in courses.,Collections,Collections,1,Positive
R0275,Undergraduate,Social Sciences,"The environment is generally good for studying, especially when the building is not crowded.",Study Space,Study Space,-1,Negative
R0276,Faculty/Staff,Humanities,The available materials have supported most of my coursework successfully.,Collections,Collections,0,Neutral
R0277,Graduate,Business,I sometimes feel overwhelmed by the number of academic resources available.,Research Support,Research Support,0,Neutral
R0278,Undergraduate,Social Sciences,The collection has been useful for my assignments and research.,Collections,Research Support,0,Neutral
R0279,Undergraduate,Social Sciences,More current editions of some textbooks would be helpful.,Collections,Collections,0,Neutral
R0280,Undergraduate,Business,I like studying here because there are several different types of work areas.,Study Space,Study Space,0,Neutral
R0281,Graduate,Life Sciences,I occasionally run into access issues when using library materials remotely.,Digital Resources,Digital Resources,0,Neutral
R0282,Graduate,Life Sciences,A few of the books I needed for coursework were not available in the format I wanted.,Collections,Collections,-1,Negative
R0283,Undergraduate,Humanities,"The library has comfortable spaces, but I sometimes have to look around for an available desk.",Study Space,Study Space,1,Positive
R0284,Undergraduate,Social Sciences,"The selection is good, although availability depends heavily on the subject.",Collections,Collections,0,Neutral
R0285,Faculty/Staff,Engineering,I would appreciate more electronic versions of books that are frequently assigned in courses.,Collections,Collections,1,Positive
R0286,Undergraduate,Business,"The workshops are useful, although they are not always offered when I need them.",Research Support,Research Support,0,Neutral
R0287,Undergraduate,Engineering,Sometimes I find a useful article but have difficulty understanding which access option I should select.,Digital Resources,Digital Resources,-2,Negative
R0288,Graduate,Business,I sometimes feel overwhelmed by the number of academic resources available.,Research Support,Research Support,0,Neutral
R0289,Graduate,Computer Science,More examples of how to conduct research using the library's resources would be valuable.,Research Support,Research Support,1,Positive
R0290,Undergraduate,Life Sciences,"The building provides a good environment for focused work, although group spaces can be difficult to reserve.",Study Space,Study Space,-2,Negative
R0291,Undergraduate,Business,"I usually find somewhere to work, but peak hours can be frustrating.",Study Space,Study Space,-1,Negative
R0292,Graduate,Engineering,"The search tools are helpful once I understand them, but they are not very intuitive initially.",Digital Resources,Digital Resources,-1,Negative
R0293,Undergraduate,Life Sciences,"The search tools are helpful once I understand them, but they are not very intuitive initially.",Digital Resources,Digital Resources,-1,Negative
R0294,Undergraduate,Humanities,"The staff are knowledgeable, but I do not always know when or how to ask for research assistance.",Research Support,Research Support,0,Neutral
R0295,Undergraduate,Business,"The library has a strong selection overall, although certain subjects have fewer resources than others.",Collections,Collections,0,Neutral
R0296,Undergraduate,Life Sciences,I like being able to access academic resources from home.,Digital Resources,Digital Resources,0,Neutral
R0297,Undergraduate,Social Sciences,The extended hours are helpful when I have assignments to finish late at night.,Study Space,Study Space,0,Neutral
R0298,Graduate,Engineering,The digital resources are extensive and generally work well for my coursework.,Digital Resources,Digital Resources,0,Neutral
R0299,Graduate,Engineering,"I can usually access articles without a problem, but some links seem to lead me in circles.",Digital Resources,Digital Resources,0,Neutral
R0300,Graduate,Life Sciences,"The digital collection is strong, although some materials take too many steps to access.",Digital Resources,Digital Resources,0,Neutral
