respondent_id,student_level,academic_area,library_usage_frequency,satisfaction_score,digital_resources_score,study_space_score,research_support_score,open_feedback,validation_theme
R0208,Undergraduate,Social Sciences,Monthly,3.6,2.6,3.3,2.7,"The search tools are helpful once I understand them, but they are not very intuitive initially.",Digital Resources
R0209,Graduate,Life Sciences,Monthly,2.6,4.4,3.5,4.3,"The library offers good support for research, but more workshops on advanced research methods would be useful.",Research Support
R0210,Undergraduate,Humanities,Weekly,3.4,4.0,2.8,3.8,I would like to see more materials added for interdisciplinary research.,Collections
R0211,Graduate,Social Sciences,Daily,4.7,4.8,3.9,5,I would appreciate more electronic versions of books that are frequently assigned in courses.,Collections
R0212,Faculty/Staff,Business,Rarely,2.7,3.5,3.2,2.0,"The building provides a good environment for focused work, although group spaces can be difficult to reserve.",Study Space
R0213,Undergraduate,Computer Science,Several times a week,3.6,5,5,4.0,"The online catalog has a lot of information, but it can be difficult to tell which result is most useful.",Digital Resources
R0214,Graduate,Humanities,Weekly,2.4,3.2,3.7,3.3,"The selection is good, although availability depends heavily on the subject.",Collections
R0215,Faculty/Staff,Humanities,Rarely,3.2,2.5,2.7,4.0,"I usually find somewhere to work, but peak hours can be frustrating.",Study Space
R0216,Undergraduate,Humanities,Monthly,3.8,4.8,3.4,4.3,"The environment is generally good for studying, especially when the building is not crowded.",Study Space
R0217,Undergraduate,Social Sciences,Monthly,3.5,4.5,2.5,3.3,"The resources are extensive, but I would benefit from more help choosing the right sources for a project.",Research Support
R0218,Undergraduate,Social Sciences,Weekly,3.7,3.5,5,3.4,"The online services save me a lot of time, although the website could explain its search options better.",Digital Resources
R0219,Graduate,Business,Weekly,4.3,5,3.3,4.6,The research help I received was excellent and made the assignment much easier.,Research Support
R0220,Graduate,Life Sciences,Monthly,3.6,3.3,4.2,3.2,I was able to find most of what I needed online without asking for assistance.,Digital Resources
R0221,Faculty/Staff,Business,Monthly,3.9,4.6,3.9,3.1,"I can usually find useful academic material, although I sometimes need more guidance on where to begin.",Research Support
R0222,Undergraduate,Life Sciences,Several times a week,4.6,4.0,5,4.0,"The selection is good, although availability depends heavily on the subject.",Collections
R0223,Faculty/Staff,Life Sciences,Weekly,3.9,4.1,4.2,4.4,I like studying here because there are several different types of work areas.,Study Space
R0224,Undergraduate,Social Sciences,Weekly,3.5,4.8,4.2,4.6,I would like to see more materials added for interdisciplinary research.,Collections
R0225,Undergraduate,Humanities,Several times a week,3.9,3.7,4.5,4.5,"Most of the material I need is available online, but finding the correct resource can take several attempts.",Digital Resources
R0226,Undergraduate,Computer Science,Weekly,3.7,4.4,3.0,3.4,"During busy periods, the available seating does not always meet demand.",Study Space
R0227,Undergraduate,Computer Science,Daily,4.8,4.8,3.7,4.8,I like studying here because there are several different types of work areas.,Study Space
R0228,Undergraduate,Humanities,Weekly,4.1,5,3.0,3.9,"The library has comfortable spaces, but I sometimes have to look around for an available desk.",Study Space
R0229,Graduate,Business,Monthly,3.9,2.3,3.6,2.5,"I found the materials I needed after some searching, but a short guide for new researchers would help.",Research Support
R0230,Undergraduate,Social Sciences,Weekly,4.1,3.6,4.6,2.6,"Electronic materials have been convenient, especially when I cannot visit the library in person.",Digital Resources
R0231,Undergraduate,Computer Science,Weekly,3.5,3.8,4.1,4.6,I had a positive experience getting help with a difficult research question.,Research Support
R0232,Undergraduate,Engineering,Weekly,3.1,3.7,4.6,4.1,I like studying here because there are several different types of work areas.,Study Space
R0233,Undergraduate,Humanities,Monthly,3.5,2.6,4.2,3.7,"I found the materials I needed after some searching, but a short guide for new researchers would help.",Research Support
R0234,Faculty/Staff,Engineering,Rarely,2.5,3.1,3.2,3.3,I would appreciate more electronic versions of books that are frequently assigned in courses.,Collections
R0235,Faculty/Staff,Business,Weekly,4.3,3.5,5,4.6,I occasionally run into access issues when using library materials remotely.,Digital Resources
R0236,Graduate,Engineering,Several times a week,3.3,3.9,4.0,3.6,The library could provide more support for students who are unfamiliar with scholarly research.,Research Support
R0237,Undergraduate,Humanities,Weekly,3.7,3.1,3.4,4.1,I would appreciate more electronic versions of books that are frequently assigned in courses.,Collections
R0238,Undergraduate,Computer Science,Rarely,3.0,2.7,3.3,2.4,"The library offers good support for research, but more workshops on advanced research methods would be useful.",Research Support
R0239,Undergraduate,Engineering,Monthly,2.6,3.8,3.9,3.1,I would like clearer guidance on evaluating sources and deciding which materials are reliable.,Research Support
R0240,Undergraduate,Life Sciences,Several times a week,4.2,3.9,3.5,4.1,"The building provides a good environment for focused work, although group spaces can be difficult to reserve.",Study Space
R0241,Graduate,Social Sciences,Monthly,3.6,4.9,4.4,3.4,The available materials have supported most of my coursework successfully.,Collections
R0242,Undergraduate,Life Sciences,Rarely,4.0,1.9,2.4,2.5,"I usually find relevant material, although some older or specialized items are difficult to locate.",Collections
R0243,Faculty/Staff,Social Sciences,Monthly,3.6,2.9,3.1,3.7,"The collection is broad, but there are occasional gaps in materials for specialized subjects.",Collections
R0244,Graduate,Business,Several times a week,4.3,5,4.6,4.7,"I found the materials I needed after some searching, but a short guide for new researchers would help.",Research Support
R0245,Undergraduate,Business,Weekly,4.1,4.2,4.1,4.7,I would like to see more materials added for interdisciplinary research.,Collections
R0246,Undergraduate,Life Sciences,Monthly,3.7,4.0,3.0,2.7,"The library offers good support for research, but more workshops on advanced research methods would be useful.",Research Support
R0247,Graduate,Life Sciences,Monthly,2.8,3.2,4.0,3.1,"The library offers good support for research, but more workshops on advanced research methods would be useful.",Research Support
R0248,Faculty/Staff,Social Sciences,Several times a week,4.8,4.1,4.1,5,"The online services save me a lot of time, although the website could explain its search options better.",Digital Resources
R0249,Faculty/Staff,Life Sciences,Weekly,3.6,4.6,3.4,3.4,The extended hours are helpful when I have assignments to finish late at night.,Study Space
R0250,Graduate,Business,Several times a week,4.8,4.0,5,2.9,"The study environment works well for me, but seating availability varies considerably by time of day.",Study Space
R0251,Undergraduate,Life Sciences,Rarely,3.0,2.9,2.1,2.7,The available materials have supported most of my coursework successfully.,Collections
R0252,Undergraduate,Humanities,Several times a week,3.7,3.9,2.4,3.6,"I appreciate the quiet areas, although some locations become noisy during the afternoon.",Study Space
R0253,Graduate,Business,Rarely,2.5,2.4,3.7,4.0,"The online collection is useful, but the search experience could be easier for someone using it for the first time.",Digital Resources
R0254,Graduate,Business,Several times a week,5,2.7,5,3.9,"The workshops are useful, although they are not always offered when I need them.",Research Support
R0255,Graduate,Engineering,Weekly,4.1,3.4,3.8,3.7,I would appreciate more electronic versions of books that are frequently assigned in courses.,Collections
R0256,Undergraduate,Social Sciences,Monthly,2.9,3.0,3.4,3.5,"I usually find relevant material, although some older or specialized items are difficult to locate.",Collections
R0257,Undergraduate,Social Sciences,Several times a week,4.2,4.1,4.5,3.2,"Accessing electronic material from off campus is generally convenient, although the process is not always clear.",Digital Resources
R0258,Faculty/Staff,Life Sciences,Several times a week,4.4,4.9,4.3,3.6,A few of the books I needed for coursework were not available in the format I wanted.,Collections
R0259,Undergraduate,Business,Weekly,3.8,4.9,3.4,5,The research help I received was excellent and made the assignment much easier.,Research Support
R0260,Faculty/Staff,Social Sciences,Monthly,4.0,3.9,3.3,3.4,I sometimes feel overwhelmed by the number of academic resources available.,Research Support
R0261,Undergraduate,Business,Rarely,2.6,2.5,5,2.8,"The library offers good support for research, but more workshops on advanced research methods would be useful.",Research Support
R0262,Undergraduate,Social Sciences,Rarely,2.8,3.0,4.5,3.7,"I appreciate the assistance available, though finding research advice at the right time can be difficult.",Research Support
R0263,Faculty/Staff,Humanities,Daily,4.5,4.8,5,3.3,"I was able to complete my research, although I spent quite a while figuring out which resources were appropriate.",Research Support
R0264,Undergraduate,Computer Science,Monthly,4.1,2.6,2.8,3.3,I like being able to access academic resources from home.,Digital Resources
R0265,Faculty/Staff,Social Sciences,Daily,4.4,3.8,4.8,4.7,Research consultations have been helpful when I have used them.,Research Support
R0266,Graduate,Life Sciences,Rarely,2.1,3.7,3.6,3.1,"The library has a strong selection overall, although certain subjects have fewer resources than others.",Collections
R0267,Undergraduate,Life Sciences,Rarely,2.1,3.4,2.8,2.8,"The quiet areas are useful, but the distinction between quiet and collaborative spaces could be clearer.",Study Space
R0268,Undergraduate,Engineering,Several times a week,4.7,5,3.3,3.3,"The study environment works well for me, but seating availability varies considerably by time of day.",Study Space
R0269,Undergraduate,Engineering,Rarely,2.0,3.4,3.3,3.2,"The library has a strong selection overall, although certain subjects have fewer resources than others.",Collections
R0270,Graduate,Life Sciences,Weekly,4.4,3.9,4.6,4.3,"The physical environment is pleasant, though some seats are less comfortable for long sessions.",Study Space
R0271,Undergraduate,Humanities,Weekly,4.0,2.7,1.6,3.1,"Electronic materials have been convenient, especially when I cannot visit the library in person.",Digital Resources
R0272,Undergraduate,Social Sciences,Weekly,4.2,4.3,3.5,3.8,The available materials have supported most of my coursework successfully.,Collections
R0273,Undergraduate,Business,Monthly,2.5,4.8,3.3,2.8,I would like a simpler way to locate electronic books and journal articles related to a course.,Digital Resources
R0274,Undergraduate,Humanities,Daily,3.4,5,3.3,5,I would appreciate more electronic versions of books that are frequently assigned in courses.,Collections
R0275,Undergraduate,Social Sciences,Rarely,3.4,3.5,3.5,2.9,"The environment is generally good for studying, especially when the building is not crowded.",Study Space
R0276,Faculty/Staff,Humanities,Weekly,3.5,3.0,3.3,3.6,The available materials have supported most of my coursework successfully.,Collections
R0277,Graduate,Business,Weekly,4.2,3.6,4.3,3.8,I sometimes feel overwhelmed by the number of academic resources available.,Research Support
R0278,Undergraduate,Social Sciences,Several times a week,4.5,2.8,5,4.6,The collection has been useful for my assignments and research.,Collections
R0279,Undergraduate,Social Sciences,Weekly,3.8,4.2,3.2,4.1,More current editions of some textbooks would be helpful.,Collections
R0280,Undergraduate,Business,Weekly,5,3.1,3.6,3.9,I like studying here because there are several different types of work areas.,Study Space
R0281,Graduate,Life Sciences,Monthly,3.8,3.3,3.5,4.5,I occasionally run into access issues when using library materials remotely.,Digital Resources
R0282,Graduate,Life Sciences,Rarely,2.7,2.4,3.0,1.3,A few of the books I needed for coursework were not available in the format I wanted.,Collections
R0283,Undergraduate,Humanities,Several times a week,4.1,3.2,3.9,3.7,"The library has comfortable spaces, but I sometimes have to look around for an available desk.",Study Space
R0284,Undergraduate,Social Sciences,Monthly,2.9,3.5,3.8,3.5,"The selection is good, although availability depends heavily on the subject.",Collections
R0285,Faculty/Staff,Engineering,Monthly,3.4,2.9,2.8,4.4,I would appreciate more electronic versions of books that are frequently assigned in courses.,Collections
R0286,Undergraduate,Business,Monthly,3.3,3.6,4.6,3.8,"The workshops are useful, although they are not always offered when I need them.",Research Support
R0287,Undergraduate,Engineering,Monthly,4.5,5,3.5,3.9,Sometimes I find a useful article but have difficulty understanding which access option I should select.,Digital Resources
R0288,Graduate,Business,Several times a week,3.8,4.4,3.6,3.6,I sometimes feel overwhelmed by the number of academic resources available.,Research Support
R0289,Graduate,Computer Science,Weekly,3.7,3.8,3.9,4.3,More examples of how to conduct research using the library's resources would be valuable.,Research Support
R0290,Undergraduate,Life Sciences,Several times a week,3.8,4.8,4.0,5,"The building provides a good environment for focused work, although group spaces can be difficult to reserve.",Study Space
R0291,Undergraduate,Business,Monthly,2.8,4.6,2.5,2.7,"I usually find somewhere to work, but peak hours can be frustrating.",Study Space
R0292,Graduate,Engineering,Monthly,3.3,4.0,4.0,3.9,"The search tools are helpful once I understand them, but they are not very intuitive initially.",Digital Resources
R0293,Undergraduate,Life Sciences,Several times a week,3.8,4.4,3.3,3.3,"The search tools are helpful once I understand them, but they are not very intuitive initially.",Digital Resources
R0294,Undergraduate,Humanities,Several times a week,3.8,4.8,4.8,4.3,"The staff are knowledgeable, but I do not always know when or how to ask for research assistance.",Research Support
R0295,Undergraduate,Business,Rarely,2.2,3.0,2.7,2.4,"The library has a strong selection overall, although certain subjects have fewer resources than others.",Collections
R0296,Undergraduate,Life Sciences,Daily,4.4,3.8,4.3,5,I like being able to access academic resources from home.,Digital Resources
R0297,Undergraduate,Social Sciences,Monthly,2.7,3.5,3.0,3.3,The extended hours are helpful when I have assignments to finish late at night.,Study Space
R0298,Graduate,Engineering,Monthly,3.1,3.7,2.4,4.0,The digital resources are extensive and generally work well for my coursework.,Digital Resources
R0299,Graduate,Engineering,Weekly,3.1,4.8,1.6,4.6,"I can usually access articles without a problem, but some links seem to lead me in circles.",Digital Resources
R0300,Graduate,Life Sciences,Monthly,4.1,2.8,2.6,3.9,"The digital collection is strong, although some materials take too many steps to access.",Digital Resources
